Country,Name,Code,AirportCode,AirportName
Meksyk,Dreams Sands Cancun ,CUN40034,CUN,Cancun
Seszele,Coral Strand Smart Choice Hotel,SEZ10010,SEZ,Mahe
Meksyk,Riu Lupita,CUN43060,CUN,Cancun
Portugalia,Pestana Alvor Praia Premium Beach Golf Hotel,FAO13013,FAO,Faro
Turcja,Fame Residence Göynük,AYT14003,AYT,Antalya
Hiszpania,Santo Tomas,MAH12003,MAH,Minorka
Grecja,Diana Palace,ZTH11002,ZTH,Zakynthos
Grecja,Akti Beach Club,KGS15003,KGS,Kos
Hiszpania,Aparthotel HG Jardin de Menorca,MAH25004,MAH,Minorka
Cypr,Hotel Grecian Bay      ,LCA20003,LCA,Larnaca
Curaçao,Papagayo Beach Hotel,CUR20015,CUR,Curaçao
Portugalia,Porto Santa Maria,FNC11025,FNC,Funchal
Grecja,Oceanis Park,RHO12002,RHO,Rodos
Grecja,Mayor Capo Di Corfu,CFU50005,CFU,Korfu
Turcja,Ela Excellence Resort Belek,AYT31035,AYT,Antalya
Mauritius,LUX* Belle Mare,MRU10050,MRU,Mauritius
Hiszpania,Coral Beach by Llum,IBZ33020,IBZ,Ibiza
Wyspy Kanaryjskie,Riu Gran Canaria,LPA41009,LPA,Gran Canaria
Bu³garia,Hotel Lion Sunny Beach,BOJ11043,BOJ,Burgas
Zanzibar,Reef and Beach Resort,ZNZ20007,ZNZ,Zanzibar
Kenia,Diani Sea Resort,MBA21030,MBA,Mombasa
Grecja,Venezia Resort Hotel,RHO13080,RHO,Rodos
Hiszpania,Globales Maioris (ex. Ola Maioris),PMI52005,PMI,Palma de Mallorca
Grecja,Evita Resort,RHO13096,RHO,Rodos
Hiszpania,RIU Nautilus,AGP22020,AGP,Costa del Sol
Turcja,Paloma Oceana,AYT42080,AYT,Antalya
Hiszpania,Palladium Menorca,MAH19010,MAH,Minorka
Portugalia,Madeira Panoramico,FNC11074,FNC,Funchal
Wyspy Kanaryjskie,Riu Papayas,LPA31006,LPA,Gran Canaria
Czarnogóra,D and D APARTMENTS BUDVA 4,TGD10011,DBV,Dubrownik
Zjednoczone Emiraty Arabskie,Hilton Ras Al Khaimah Beach Resort,RKT15029,DXB,Dubai
Kenia,Neptune Paradise Beach Resort & Spa,MBA24002,MBA,Mombasa
Tunezja,TUI MAGIC LIFE Africana,NBE16047,NBE,Enfidha
Wyspy Kanaryjskie,Be Live Experience Orotava,TFS11063,TFS,Teneryfa
Hiszpania,TUI BLUE Aura,IBZ43003,IBZ,Ibiza
Zanzibar,Zanzibar Bay,ZNZ30027,ZNZ,Zanzibar
Aruba,Divi Aruba All Inclusive,AUA10008,AUA,Aruba
Portugalia,Savoy Palace,FNC11351,FNC,Funchal
Turcja,Big Blue Sky Hotel,AYT61085,AYT,Antalya
Hiszpania,Aparthotel Tropicana,PMI63000,PMI,Palma de Mallorca
Malediwy,Kuredu Island Resort & Spa,MLE40040,MLE,Male
Albania,Bonita,TIA10104,TIA,Tirana
Wyspy Kanaryjskie,HSA Ficus Apartments,ACE22030,ACE,Lanzarote
Wyspy Kanaryjskie,Apartmentos The Las Gaviotas ,ACE25023,ACE,Lanzarote
Egipt,Parrotel Aqua Park Resort,SSH18252,SSH,Sharm El Sheikh
Egipt,Jaz Mirabel Beach Resort,SSH18085,SSH,Sharm El Sheikh
Grecja,Kolymbia Beach by ATLANTICA,RHO14065,RHO,Rodos
Wyspy Kanaryjskie,Apartamenty Puerto de Mogan,LPA52014,LPA,Gran Canaria
Mauritius,Mauricia Beachcomber Resort & Spa,MRU40009,MRU,Mauritius
Dominikana,Riu Palace Bavaro,PUJ62066,PUJ,Punta Cana
Grecja,Lindian Village,RHO21325,RHO,Rodos
Dominikana,Bahia Principe Luxury Bouganville,PUJ65016,PUJ,Punta Cana
Chorwacja,Marvie Hotel & Health,SPU02055,SPU,Split
Turcja,Hatipoglu,AYT61087,AYT,Antalya
Turcja,Baia Lara,AYT24014,AYT,Antalya
Hiszpania,Aparthotel Floramar,MAH23001,MAH,Minorka
Cypr,The King Jason Protaras,LCA15097,LCA,Larnaca
Portugalia,Vila Galé Atlantico,FAO18021,FAO,Faro
Grecja,Studia i Apartamenty Argiro Village,RHO23012,RHO,Rodos
Grecja,Vantaris Blue,HER28045,HER,Heraklion
Tunezja,Baya Beach Aqua Park,DJE19010,DJE,Djerba
Czarnogóra,M-Club Hotel,TGD10044,DBV,Dubrownik
Egipt,JAZ Mirabel Park & Club ,SSH18086,SSH,Sharm El Sheikh
Kenia,Elewana AfroChic Diani,MBA21010,MBA,Mombasa
Mauritius,Sugar Beach - A Sun Resort Mauritius,MRU30020,MRU,Mauritius
Grecja,Zeus Hotels SOL by Melia Cosmopolitan,RHO12006,RHO,Rodos
Grecja,Zante Maris Suites,ZTH13016,ZTH,Zakynthos
Hiszpania,UNIVERSAL Castell Royal,PMI71321,PMI,Palma de Mallorca
Wyspy Zielonego Przyl¹dka,Dunas de Sal,SID10050,SID,Sal / Amilcal Cabral
Turcja,Alp Pasa,AYT21018,AYT,Antalya
Grecja,Annabelle Beach Resort,HER41002,HER,Heraklion
Grecja,Atrium Prestige      ,RHO24010,RHO,Rodos
Grecja,Margarita,CFU22002,CFU,Korfu
Turcja,Can Garden Resort,AYT41056,AYT,Antalya
Grecja,Themis Beach,HER32032,HER,Heraklion
Wyspy Kanaryjskie,Vanilla Garden,TFS38010,TFS,Teneryfa
Hiszpania,Zafiro Cala Mesquida,PMI74013,PMI,Palma de Mallorca
Meksyk,Riu Palace Riviera Maya,CUN43065,CUN,Cancun
Hiszpania,Grupotel Port d'Alcudia,PMI83016,PMI,Palma de Mallorca
Grecja,Palladium,KGS23018,KGS,Kos
Bu³garia,Oasis,VAR41070,VAR,Warna
Chorwacja,Hotel Epidaurus,DBV10010,DBV,Dubrownik
Portugalia,Vidamar Resort Madeira,FNC11008,FNC,Funchal
Portugalia,3HB Falesia Garden,FAO16013,FAO,Faro
Bu³garia,Grand Hotel Sunny Beach ,BOJ11221,BOJ,Burgas
Turcja,Papillon Aysha,AYT31010,AYT,Antalya
Turcja,Fame Residence Kemer Spa,AYT13052,AYT,Antalya
Wyspy Kanaryjskie,Labranda Playa Bonita,LPA31091,LPA,Gran Canaria
Wyspy Kanaryjskie,Lemon & Soul Cactus Garden,FUE11000,FUE,Fuerteventura
Grecja,Hotel Arion,SMI40030,SMI,Samos
Malediwy,ROBINSON NOONU,MLE11011,MLE,Male
Portugalia,Enotel Quinta do Sol,FNC11084,FNC,Funchal
Hiszpania,Hipotels Dunas Cala Millor,PMI63004,PMI,Palma de Mallorca
Albania,Premium Beach Hotel,TIA10003,TIA,Tirana
Grecja,GRECOTEL LUX.ME Dama Dama,RHO13010,RHO,Rodos
Kenia,Leopard Beach Resort & Spa,MBA21031,MBA,Mombasa
Grecja,Hotel Kalidon Panorama,SMI40029,SMI,Samos
Czarnogóra,Mediteran,TGD11010,TGD,Podgorica
Turcja,Senza The Inn Resort SPA,AYT63016,AYT,Antalya
Hiszpania,Zafiro Menorca  ,MAH29030,MAH,Minorka
Hiszpania,Globales America,PMI58001,PMI,Palma de Mallorca
Meksyk,Catalonia Riviera Maya & Yucatan Beach,CUN44012,CUN,Cancun
Portugalia,Adriana Beach Resort,FAO21006,FAO,Faro
Grecja,Sea Side Resort,HER22011,HER,Heraklion
Wyspy Kanaryjskie,H10 Tindaya,FUE22007,FUE,Fuerteventura
Turcja,Royal Seginus,AYT24022,AYT,Antalya
Grecja,Century Resort,CFU12001,CFU,Korfu
Chorwacja,Hotel Pax,SPU02108,SPU,Split
Grecja,Livadi Nafsika,CFU21017,CFU,Korfu
