Country,Name,Code,AirportCode,AirportName
Cypr,Annabelle,PFO10007,PFO,Pafos
Hiszpania,TUI SUNEO Santa Ponsa,PMI31035,PMI,Palma de Mallorca
Indonezja - Bali,Merusaka Nusa Dua,DPS20005,DPS,Denpasar
Egipt,Palm Beach,HRG11068,HRG,Hurghada
Egipt,Flamenco Beach & Resort,RMF14020,RMF,Marsa Alam
Tajlandia,Rawai Palm Beach Resort,HKT47001,HKT,Phuket
Grecja,Filoxenia,ZTH13010,ZTH,Zakynthos
Hiszpania,Pabisa Chico,PMI43047,PMI,Palma de Mallorca
Tunezja,Venice Beach,DJE19006,DJE,Djerba
Bu³garia,Fenix Beach,BOJ11090,BOJ,Burgas
Cypr,Amethyst Napa Hotel & Spa,LCA20113,LCA,Larnaca
Turcja,TUI Magic Life Belek (ex. Club Asteria),AYT31075,AYT,Antalya
Hiszpania,Mariant,PMI93011,PMI,Palma de Mallorca
Hiszpania,TUI SUNEO Green Garden,PMI73072,PMI,Palma de Mallorca
Grecja,Sunshine Hotel - Apartments,KGS21030,KGS,Kos
Tunezja,Ksar Djerba,DJE19021,DJE,Djerba
Dominikana,Breathless Punta Cana Resort and Spa,PUJ35004,PUJ,Punta Cana
Grecja,ATLANTICA Caldera Palace,HER41040,HER,Heraklion
Hiszpania,Ibiza Playa,IBZ21004,IBZ,Ibiza
Tajlandia,Patong Merlin Hotel,HKT40033,HKT,Phuket
Chorwacja,Aminess Grand Azur Hotel,DBV38021,DBV,Dubrownik
Hiszpania,Cala Llenya Resort Ibiza,IBZ32002,IBZ,Ibiza
Bu³garia,Kristal,VAR21031,VAR,Warna
Wyspy Kanaryjskie,Aparthotel Veril Playa,LPA31022,LPA,Gran Canaria
Wyspy Zielonego Przyl¹dka,Melia Llana,SID10002,SID,Sal / Amilcal Cabral
Dominikana,Bahia Principe Grand Aquamarine,PUJ62109,PUJ,Punta Cana
Hiszpania,Globales Gardenia,AGP28006,AGP,Costa del Sol
Portugalia,Pestana Ocean Bay All Inclusive Resort,FNC11028,FNC,Funchal
Bu³garia,Grifid Hotel Bolero,VAR21046,VAR,Warna
Wyspy Zielonego Przyl¹dka,Melia Tortuga Beach,SID10026,SID,Sal / Amilcal Cabral
Wyspy Kanaryjskie,Costa Calero,ACE26022,ACE,Lanzarote
Wyspy Kanaryjskie,TUI BLUE Orquidea,LPA19005,LPA,Gran Canaria
Hiszpania,Iberostar Cala Millor,PMI63034,PMI,Palma de Mallorca
Egipt,Elphistone Resort,RMF18106,RMF,Marsa Alam
Turcja,TUI BLUE Xanthe,AYT42025,AYT,Antalya
Turcja,Hotel Royal Wings,AYT24062,AYT,Antalya
Malediwy,Hard Rock Hotel Maldives,MLE30040,MLE,Male
Bu³garia,Sentido Marea,VAR21300,VAR,Warna
Egipt,Steigenberger Coraya Beach,RMF18020,RMF,Marsa Alam
Hiszpania,TUI BLUE Rocador,PMI55095,PMI,Palma de Mallorca
Wyspy Zielonego Przyl¹dka,Ouril Pontao,SID10060,SID,Sal / Amilcal Cabral
Wyspy Kanaryjskie,Hotel  Melia Salinas,ACE22001,ACE,Lanzarote
Wyspy Kanaryjskie,Elba Palace & Golf Resort,FUE26030,FUE,Fuerteventura
Turcja,Can Garden Beach,AYT43035,AYT,Antalya
Grecja,Esperos Mare,RHO13021,RHO,Rodos
Aruba,RIU Palace Aruba,AUA10030,AUA,Aruba
Turcja,Hotel Panorama,AYT61046,AYT,Antalya
Cypr,Golden Bay Beach Hotel,LCA11004,LCA,Larnaca
Grecja,Mayia Exclusive Resort,RHO16040,RHO,Rodos
Turcja,Hotel La Vitas,AYT42081,AYT,Antalya
Tunezja,Medina Solaria & Thalasso,NBE16064,NBE,Enfidha
Meksyk,Riu Palace Peninsula,CUN40038,CUN,Cancun
Grecja,Hersonissos Palace,HER41023,HER,Heraklion
Indonezja - Bali,Royal Pita Maha,DPS21048,DPS,Denpasar
Seszele,Coco de Mer Hotel & Black Parrot Suites ,PRI50010,SEZ,Mahe
Grecja,Alkionis Hotel,CFU22006,CFU,Korfu
Turcja,Sentido Selin,AYT41020,AYT,Antalya
Grecja,Appartments Zorbas,HER28040,HER,Heraklion
Indonezja - Bali,Candi Beach Resort &Spa,DPS34002,DPS,Denpasar
Dominikana,Viva Wyndham Dominicus Beach,PUJ60012,PUJ,Punta Cana
Tajlandia,Khao Lak Merlin Resort,HKT53005,HKT,Phuket
Turcja,Elegance,DLM10029,DLM,Dalaman
Wyspy Zielonego Przyl¹dka,Sol Dunas,SID10004,SID,Sal / Amilcal Cabral
Turcja,TUI MAGIC LIFE Masmavi,AYT31100,AYT,Antalya
Grecja,TUI BLUE Lindos Bay,RHO17010,RHO,Rodos
Hiszpania,RIU Monica,AGP13001,AGP,Costa del Sol
Turcja,Hotel & Resort Botanik,AYT53050,AYT,Antalya
Grecja,Kerveli Village,SMI44014,SMI,Samos
Turcja,Akbulut,ADB11022,ADB,Izmir
Turcja,Turquoise Hotel,AYT46025,AYT,Antalya
Grecja,Albatros,CFU22003,CFU,Korfu
Meksyk,Zoetry Paraiso de la Bonita,CUN42001,CUN,Cancun
Czarnogóra,Montenegro Beach Resort,TGD11031,TGD,Podgorica
Albania,Tropikal Resort affiliated by Melia,TIA10043,TIA,Tirana
Hiszpania,Triton,AGP16004,AGP,Costa del Sol
Bu³garia,Apart-Hotel Efir,BOJ11208,BOJ,Burgas
"Curaçao,""Dreams Curacao Resort, Spa & Casino"",CUR10045,CUR,Curaçao"
Tunezja,Jaz at the Beach Tour Khalef,NBE12040,NBE,Enfidha
Egipt,Serenity Makadi Beach,HRG13151,HRG,Hurghada
Grecja,Lindos Grand Resort & Spa,RHO17067,RHO,Rodos
Wyspy Kanaryjskie,Hotel Gran Melia Palacio de Isora,TFS35050,TFS,Teneryfa
Malediwy,Amari Havodda Maldives,MLE19010,MLE,Male
Czarnogóra,Hotel Budva,TGD10025,DBV,Dubrownik
Grecja,TUI SUNEO Tsilivi Admiral,ZTH13005,ZTH,Zakynthos
Egipt,Iberotel Costa Mares,RMF18024,RMF,Marsa Alam
Grecja,Domes Aulus Elounda,HER50073,HER,Heraklion
Turcja,Rixos Premium Tekirova,AYT11050,AYT,Antalya
Chorwacja,Apartamenty Belvedere,SPU23611,SPU,Split
Portugalia,Pestana Royal Premium All Inclusive Ocean & Spa Resort,FNC11073,FNC,Funchal
Hiszpania,Zafiro Palace Palmanova & Spa,PMI24027,PMI,Palma de Mallorca
Egipt,Sheraton Miramar Resort,HRG16020,HRG,Hurghada
Bu³garia,Trakia Garden,BOJ11029,BOJ,Burgas
Hiszpania,Figueretas,IBZ21008,IBZ,Ibiza
Turcja,Kirman Hotels Sidemarin Beach Spa,AYT42041,AYT,Antalya
Grecja,TUI SUNEO Hydrele Beach,SMI41022,SMI,Samos
Hiszpania,Bahia Principe Sunlight Coral Playa,PMI23017,PMI,Palma de Mallorca
Grecja,Golden Beach,HER80020,HER,Heraklion
Cypr,Aquamare Beach,PFO10032,PFO,Pafos
"Meksyk,""Hideaway at Royalton Riviera Cancun, An Autograph Collection All-Inclusive Resort & Casino - Adults Only"",CUN40139,CUN,Cancun"
Bu³garia,HVD Viva Club Hotel,VAR21021,VAR,Warna
Hiszpania,Parque Nereida Suite Hotel,PMI73038,PMI,Palma de Mallorca
Egipt,Aqua Vista Resort Hurghada,HRG11298,HRG,Hurghada
Wyspy Kanaryjskie,Aparthotel Costa Mar,ACE20009,ACE,Lanzarote
Hiszpania,Estival Islantilla ,HEV12020,FAO,Faro
Portugalia,Quinta Splendida Wellness & Botanical Garden,FNC20010,FNC,Funchal
"Indonezja - Bali,""The Laguna, A Luxury Collection Resort & Spa"",DPS20042,DPS,Denpasar"
Bu³garia,Garden of Eden,BOJ18001,BOJ,Burgas
Hiszpania,Viva Blue & Spa,PMI83069,PMI,Palma de Mallorca
Wyspy Kanaryjskie,Coral Compostela Beach Golf,TFS38098,TFS,Teneryfa
Egipt,Stella di Mare Gardens Resort & Spa,HRG13081,HRG,Hurghada
Portugalia,Auramar Beach Resort,FAO16036,FAO,Faro
Hiszpania,Globales Condes de Alcudia,PMI83013,PMI,Palma de Mallorca
Portugalia,Pestana Blue Alvor All Inclusive Beach & Golf Resort,FAO13027,FAO,Faro
Grecja,GRECOTEL Ilia Palms & Aqua Park ,GPA10055,GPA,Araxos
Turcja,Liberty Hotels Lykia Adults Only,DLM30075,DLM,Dalaman
Hiszpania,Estepona Hotel & Spa,AGP25009,AGP,Costa del Sol
Hiszpania,Grupotel Acapulco Playa,PMI43019,PMI,Palma de Mallorca
Hiszpania,Iberostar Albufera Park ,PMI83094,PMI,Palma de Mallorca
Turcja,Hotel Port Side,AYT43028,AYT,Antalya
Albania,Sandy Beach,TIA15005,TIA,Tirana
Grecja,Mediterraneo,HER41061,HER,Heraklion
Grecja,Creta Royal,HER80017,HER,Heraklion
Malediwy,Hotel Kurumba Maldives,MLE20020,MLE,Male
Turcja,Kempinski Hotel The Dome,AYT31029,AYT,Antalya
Albania,Klajdi Resort,TIA15104,TIA,Tirana
Hiszpania,Sirenis Seaview Country Club,IBZ43005,IBZ,Ibiza
Turcja,Kaya Belek,AYT31017,AYT,Antalya
Turcja,Gloria Serenity Resort,AYT31032,AYT,Antalya
Turcja,Hotel Amelia Beach Resort & Spa,AYT51059,AYT,Antalya
Egipt,Royal Albatros Moderna,SSH18242,SSH,Sharm El Sheikh
Tunezja,Shems Holiday Village,NBE14024,NBE,Enfidha
Indonezja - Bali,Legian Beach Hotel,DPS14010,DPS,Denpasar
Turcja,Grand Yazici Club Turban Thermal ,DLM12090,DLM,Dalaman
Hiszpania,Apartamenty Mar y Playa I,IBZ21011,IBZ,Ibiza
Tunezja,Calimera Delfino Beach Resort & Spa,NBE13002,NBE,Enfidha
Turcja,Limak Limra Hotel & Resort,AYT12033,AYT,Antalya
Wyspy Kanaryjskie,TUI SUNEO Globales Tamaimo Tropical,TFS36006,TFS,Teneryfa
Turcja,Sunpoint Suites,BJV22059,BJV,Milas-Bodrum
Hiszpania,Invisa Figueral Resort,IBZ35001,IBZ,Ibiza
Bu³garia,Burgas Beach Hotel ,BOJ11195,BOJ,Burgas
Portugalia,Pestana Palms Ocean Hotel ,FNC11042,FNC,Funchal
Tunezja,Africajade Thalasso,NBE17001,NBE,Enfidha
Bu³garia,Hotel Gergana Beach,VAR41012,VAR,Warna
Hiszpania,Hipotels Cala Millor Park Hotel,PMI63017,PMI,Palma de Mallorca
Turcja,Club Marvy,ADB15031,ADB,Izmir
Wyspy Zielonego Przyl¹dka,Agua Hotels Sal Vila Verde ,SID10030,SID,Sal / Amilcal Cabral
Grecja,Matoula Beach Hotel,RHO22021,RHO,Rodos
Hiszpania,Zafiro Palace Andratx,PMI35005,PMI,Palma de Mallorca
Tunezja,Orangers Beach Resort & Bungalows,NBE16049,NBE,Enfidha
Grecja,TUI SUNEO Chrissi Amoudia,HER41044,HER,Heraklion
Bu³garia,Hotel Aktinia,BOJ11009,BOJ,Burgas
Cypr,Louis Paphos Breeze,PFO10067,PFO,Pafos
Wyspy Kanaryjskie,HL Sahara Playa,LPA31020,LPA,Gran Canaria
Turcja,Senza Garden Holiday Club,AYT57038,AYT,Antalya
Wyspy Kanaryjskie,Riu Vistamar,LPA51001,LPA,Gran Canaria
Cypr,The Golden Coast Beach Hotel,LCA15020,LCA,Larnaca
Portugalia,Baía Cristal Beach & Spa Resort,FAO23009,FAO,Faro
Bu³garia,Aphrodite,VAR21006,VAR,Warna
Egipt,Falcon Hills,SSH13098,SSH,Sharm El Sheikh
Hiszpania,Riu La Mola,FXX10001,IBZ,Ibiza
Turcja,Lara Barut Collection,AYT24050,AYT,Antalya
Egipt,Dana Beach Resort,HRG11003,HRG,Hurghada
Wyspy Zielonego Przyl¹dka,Melia Dunas,SID10000,SID,Sal / Amilcal Cabral
Hiszpania,Artiem Carlos,MAH31022,MAH,Minorka
Wyspy Kanaryjskie,Beatriz Costa & Spa,ACE22015,ACE,Lanzarote
Meksyk,Akumal Bay Resort,CUN45032,CUN,Cancun
Turcja,Saphir Resort Spa Hotel,AYT53013,AYT,Antalya
Wyspy Kanaryjskie,LABRANDA Bronze Playa,LPA31090,LPA,Gran Canaria
"Indonezja - Bali,""Jimbaran Puri, A Belmond Hotel, Bali"",DPS17046,DPS,Denpasar"
Tunezja,Vincci Nozha Beach,NBE16094,NBE,Enfidha
Grecja,Elea Beach,CFU21019,CFU,Korfu
Turcja,Melas Holiday Village,AYT43075,AYT,Antalya
Grecja,Grand Leoniki Residence by Grecotel,HER80167,HER,Heraklion
Tajlandia,TUI BLUE Mai Khao Lak,HKT53027,HKT,Phuket
Bu³garia,Hotel Dunav,BOJ11068,BOJ,Burgas
Bu³garia,Grifid Hotel Foresta,VAR21067,VAR,Warna
Wyspy Kanaryjskie,Rondo,LPA31089,LPA,Gran Canaria
Indonezja - Bali,Hyatt Regency Bali,DPS18317,DPS,Denpasar
Hiszpania,Botel Alcudiamar,PMI83070,PMI,Palma de Mallorca
Grecja,Elounda Peninsula All Suite Hotel,HER50010,HER,Heraklion
Grecja,Roseland's Hotel,KGS23024,KGS,Kos
Hiszpania,Grupotel Taurus Park,PMI43003,PMI,Palma de Mallorca
Tajlandia,Centara Kata Resort Phuket,HKT44003,HKT,Phuket
Meksyk,Riu Caribe,CUN40039,CUN,Cancun
Turcja,Derici,ADB11003,ADB,Izmir
Hiszpania,Melia Atlantico Isla Canela,HEV14005,FAO,Faro
Turcja,Hotel The Sense Deluxe,AYT42034,AYT,Antalya
Tunezja,Bel Azur Thalassa Hotel,NBE16022,NBE,Enfidha
Grecja,Minos Ambassador Suite Hotel & Spa,HER80181,HER,Heraklion
Turcja,Grand Sahin's Gümüldür Resort,ADB16009,ADB,Izmir
Curaçao,Kontiki Beach Resort Curacao,CUR10060,CUR,Curaçao
Hiszpania,Vincci Seleccion Estrella del Mar,AGP24303,AGP,Costa del Sol
Grecja,Dore Hotel,CHQ10023,HER,Heraklion
Hiszpania,Globales Nova,PMI24018,PMI,Palma de Mallorca
Tajlandia,The Sands Khao Lak by Katathani,HKT53017,HKT,Phuket
Tajlandia,Moracea by Khaolak Resort,HKT53029,HKT,Phuket
Zanzibar,Gold Zanzibar Beach House & Spa     ,ZNZ40011,ZNZ,Zanzibar
Bu³garia,Obzor Beach Resort,VAR19012,VAR,Warna
Hiszpania,Globales Cala Vi?as,PMI09005,PMI,Palma de Mallorca
Dominikana,Melia Caribe Beach Resort,PUJ62111,PUJ,Punta Cana
Grecja,Castelli,ZTH19009,ZTH,Zakynthos
Seszele,Hilton Seychelles Northolme Resort & Spa,SEZ10018,SEZ,Mahe
Albania,Supreme and SPA,TIA15121,TIA,Tirana
Grecja,Roseland Hotel,ZTH15036,ZTH,Zakynthos
Chorwacja,Villa Vela Luka,SPU42007,SPU,Split
Malediwy,Summer Island Maldives,MLE20000,MLE,Male
Turcja,Kleopatra Dreams Beach Hotel,AYT61158,AYT,Antalya
Zanzibar,Riu Palace Zanzibar,ZNZ40014,ZNZ,Zanzibar
Grecja,GRECOTEL Mandola Rosa,GPA10050,GPA,Araxos
Sri Lanka,Taj Bentota Resort & Spa,CMB45050,CMB,Sri Lanka
Hiszpania,Hipotels Marfil Playa,PMI68053,PMI,Palma de Mallorca
Cypr,Napa Plaza,LCA20060,LCA,Larnaca
Hiszpania,Viva Sunrise,PMI83065,PMI,Palma de Mallorca
Kenia,Bamburi Beach Hotel  ,MBA12010,MBA,Mombasa
Cypr,Sunrise Jade,LCA15074,LCA,Larnaca
Cypr,Hotel Melpo Antia ,LCA20075,LCA,Larnaca
Bu³garia,TUI SUNEO Helios Beach,VAR19010,VAR,Warna
Grecja,Candia Park Village,HER49014,HER,Heraklion
Wyspy Kanaryjskie,Riu Palace Palmeras,LPA31012,LPA,Gran Canaria
Wyspy Kanaryjskie,Botanico The Oriental Spa Garden,TFS11061,TFS,Teneryfa
Egipt,Jaz Aquamarine,HRG11090,HRG,Hurghada
Hiszpania,Millor Sol,PMI63042,PMI,Palma de Mallorca
Chorwacja,Sun Gardens Dubrovnik ,DBV21311,DBV,Dubrownik
Wyspy Kanaryjskie,Siroco Serenity Apartments,ACE22027,ACE,Lanzarote
Portugalia,Pestana Carlton Madeira Premium Ocean Resort,FNC11002,FNC,Funchal
Zjednoczone Emiraty Arabskie,Delta Hotels by Mariott Jumeirah Beach,DXB19131,DXB,Dubai
Wyspy Kanaryjskie,Bull Eugenia Victoria & Spa,LPA31077,LPA,Gran Canaria
Grecja,Lagas Aegean Village,KGS15020,KGS,Kos
Meksyk,Mahekal Beach Resort   ,CUN43010,CUN,Cancun
Grecja,Poseidon Beach Hotel,ZTH19010,ZTH,Zakynthos
Hiszpania,Hipotels Hipocampo Palace,PMI63018,PMI,Palma de Mallorca
Turcja,Hotel Sidekum,AYT42013,AYT,Antalya
Indonezja - Bali,Amarterra Villas Bali Nusa Dua,DPS20088,DPS,Denpasar
Hiszpania,Globales Los Delfines,MAH34001,MAH,Minorka
Hiszpania,Grupotel Santa Eularia & Spa,IBZ34040,IBZ,Ibiza
Dominikana,Serenade Punta Cana Beach & Spa,PUJ62068,PUJ,Punta Cana
Bu³garia,Sunset Resort,BOJ16002,BOJ,Burgas
Hiszpania,Protur Safari ,PMI68008,PMI,Palma de Mallorca
Hiszpania,Steigenberger Golf & Spa Resort,PMI35310,PMI,Palma de Mallorca
Cypr,Sunrise Beach Hotel,LCA15019,LCA,Larnaca
Bu³garia,Grifid Hotel Encanto Beach,VAR21065,VAR,Warna
Tunezja,Mirage Club,NBE16075,NBE,Enfidha
Portugalia,Alfagar Village,FAO16012,FAO,Faro
Grecja,ATLANTICA Aegean Park,RHO14048,RHO,Rodos
Sri Lanka,Club Hotel Dolphin     ,CMB13006,CMB,Sri Lanka
Hiszpania,Alua Gran Camp de Mar,PMI35103,PMI,Palma de Mallorca
Wyspy Kanaryjskie,Best Hotel Semiramis,TFS11065,TFS,Teneryfa
Wyspy Kanaryjskie,Alexandre Troya,TFS38021,TFS,Teneryfa
Hiszpania,Grupotel Imperio Playa,IBZ20020,IBZ,Ibiza
Hiszpania,Alua Illa de Menorca,MAH15011,MAH,Minorka
Turcja,Rixos Beldibi,AYT17020,AYT,Antalya
Meksyk,Dreams Riviera Cancún Resort & Spa  ,CUN42010,CUN,Cancun
Cypr,Leonardo Crystal Cove Hotel & Spa by the Sea,LCA15079,LCA,Larnaca
Turcja,Alva Donna Side Beach,AYT41040,AYT,Antalya
Mauritius,Le Palmiste,MRU20016,MRU,Mauritius
Wyspy Kanaryjskie,Suites & Villas Hyde Park Lane,ACE20011,ACE,Lanzarote
Hiszpania,Zafiro Tropic & Spa,PMI83061,PMI,Palma de Mallorca
Grecja,Maritimo Beach Hotel,HER23061,HER,Heraklion
Hiszpania,Sol Falco,MAH29021,MAH,Minorka
Turcja,Eftalia Marin,AYT57013,AYT,Antalya
Hiszpania,Globales Montemar,IBZ36008,IBZ,Ibiza
Hiszpania,Invisa Hotel La Cala,IBZ34015,IBZ,Ibiza
Grecja,Blue Lagoon City Hotel,KGS11055,KGS,Kos
Grecja,Cretan Malia Park,HER21040,HER,Heraklion
Grecja,ROBINSON Iarapetra,HER16060,HER,Heraklion
Tunezja,Sahara Beach Aquapark,NBE14060,NBE,Enfidha
Curaçao,Hotel Morena Resort,CUR20018,CUR,Curaçao
Wyspy Kanaryjskie,ROBINSON Esquinzo Playa,FUE14010,FUE,Fuerteventura
Grecja,Pilot Beach Resort,HER28016,HER,Heraklion
Grecja,Ikones Seafront Luxury Suites,HER80015,HER,Heraklion
Egipt,Mövenpick Resort El Quseir,RMF14010,RMF,Marsa Alam
Chorwacja,Hotel More,DBV11060,DBV,Dubrownik
Hiszpania,Elba Estepona Gran Hotel Thalasso & Spa,AGP25020,AGP,Costa del Sol
Chorwacja,Hotel Cvita,SPU02062,SPU,Split
Grecja,Eurovillage Achilleas,KGS22007,KGS,Kos
Wyspy Kanaryjskie,THe Valle Taurito,LPA53007,LPA,Gran Canaria
Zanzibar,DoubleTree Resort by Hilton Hotel Zanzibar - Nungwi,ZNZ40010,ZNZ,Zanzibar
Egipt,Minamark Beach Resort,HRG11032,HRG,Hurghada
Egipt,Arabella Azur,HRG11250,HRG,Hurghada
Grecja,MarBella Corfu,CFU17001,CFU,Korfu
Turcja,Doubletree By Hilton Bodrum Isil Club Resort,BJV26040,BJV,Milas-Bodrum
Portugalia,Cabanas Beach & Nature,FAO36002,FAO,Faro
Grecja,Blue Bay Resort,HER22020,HER,Heraklion
Wyspy Kanaryjskie,Servatur Don Miguel,LPA31065,LPA,Gran Canaria
Meksyk,Grand Sirenis Riviera Maya Resort and Spa,CUN45015,CUN,Cancun
Tunezja,Club Calimera Yati Beach,DJE11034,DJE,Djerba
Grecja,Sun Beach Lindos,RHO21021,RHO,Rodos
Turcja,Charm Beach,BJV23019,BJV,Milas-Bodrum
Grecja,Rodos Princess Beach,RHO16013,RHO,Rodos
Grecja,Creta Maris Beach Resort,HER41032,HER,Heraklion
Tunezja,Sindbad,NBE16017,NBE,Enfidha
Dominikana,Impressive Punta Cana,PUJ62053,PUJ,Punta Cana
Grecja,Abaton Island Resort & Spa,HER41107,HER,Heraklion
Kenia,Severin Sea Lodge,MBA12024,MBA,Mombasa
Cypr,Kissos Hotel,PFO10033,PFO,Pafos
Turcja,TUI Kids Club Turan Prince Residence,AYT41028,AYT,Antalya
Indonezja - Bali,Hard Rock Hotel Bali,DPS15050,DPS,Denpasar
Seszele,Carana Beach Hotel,SEZ14010,SEZ,Mahe
Wyspy Kanaryjskie,Coral Cotillo Beach,FUE20016,FUE,Fuerteventura
Hiszpania,Universal Perla,PMI93003,PMI,Palma de Mallorca
Egipt,Marlin Inn Azur Resort,HRG11075,HRG,Hurghada
Portugalia,Clube Porto Mos      ,FAO12005,FAO,Faro
Grecja,Alex Beach,RHO10010,RHO,Rodos
Kuba,Be Live Experience Varadero,VRA20117,HAV,Havana
Mauritius,Riu Le Morne,MRU60060,MRU,Mauritius
Wyspy Kanaryjskie,Sol Lanzarote,ACE21209,ACE,Lanzarote
Grecja,Corissia Harmony,HER28037,HER,Heraklion
Wyspy Kanaryjskie,Relaxia Olivina,ACE20022,ACE,Lanzarote
Tunezja,Medina Belisaire & Thalasso,NBE16044,NBE,Enfidha
Hiszpania,Grupotel Gran Vista & Spa,PMI82004,PMI,Palma de Mallorca
Czarnogóra,Riva,TGD19003,TGD,Podgorica
Grecja,Porto Plaza,HER41073,HER,Heraklion
Hiszpania,Riu Festival,PMI43037,PMI,Palma de Mallorca
Bu³garia,Aquahouse Hotel & Spa,VAR11020,VAR,Warna
Dominikana,Grand Palladium Palace Resort Spa & Casino,PUJ62033,PUJ,Punta Cana
Grecja,TUI SUNEO Atlantica Thalassa,KGS24005,KGS,Kos
Indonezja - Bali,The Anvaya Beach Resort Bali,DPS16079,DPS,Denpasar
Turcja,Yücelen,DLM20010,DLM,Dalaman
Turcja,Club Big Blue,AYT61096,AYT,Antalya
Bu³garia,Borjana,VAR41002,VAR,Warna
Wyspy Kanaryjskie,Appartments Parque Santiago III,TFS38005,TFS,Teneryfa
Tajlandia,Kamala Beach Resort (a sunprime Resort),HKT34005,HKT,Phuket
Grecja,Athena,RHO11080,RHO,Rodos
Turcja,Floria Beach Hotel,AYT61038,AYT,Antalya
Zanzibar,Sunshine Marine Lodge,ZNZ60002,ZNZ,Zanzibar
Albania,Elesio,TIA15026,TIA,Tirana
Portugalia,Quinta Penha de Franca Mar,FNC11016,FNC,Funchal
Egipt,Steigenberger Resort Alaya,RMF18070,RMF,Marsa Alam
Grecja,Delfinia,CFU22016,CFU,Korfu
Turcja,ROBINSON CAMYUVA,AYT12050,AYT,Antalya
Wyspy Kanaryjskie,AluaSoul Orotava Valley ,TFS11025,TFS,Teneryfa
Wyspy Kanaryjskie,Catalonia Las Vegas,TFS11003,TFS,Teneryfa
Kuba,Iberostar Bella Costa,VRA20134,VRA,Varadero
Wyspy Kanaryjskie,BlueBay Lanzarote,ACE22019,ACE,Lanzarote
Hiszpania,THB Cala Lliteras,PMI73061,PMI,Palma de Mallorca
Bu³garia,iHot@l,BOJ11266,BOJ,Burgas
Bu³garia,Club Hotel Sunny Beach,BOJ11047,BOJ,Burgas
Wyspy Kanaryjskie,H10 Playa Meloneras Palace,LPA41001,LPA,Gran Canaria
Tunezja,Dar Jerba Narjess,DJE11016,DJE,Djerba
Hiszpania,Vista Park Hotel & Apartments,PMI82072,PMI,Palma de Mallorca
Meksyk,Bahia Principe Luxury Sian Ka'an,CUN45011,CUN,Cancun
Grecja,Silva Beach,HER41033,HER,Heraklion
Grecja,Avra Beach,RHO12013,RHO,Rodos
Turcja,Hotel Delphin Palace,AYT24040,AYT,Antalya
Chorwacja,Hotel Velaris,SPU42602,SPU,Split
Hiszpania,Alua Soul Alcudia Bay,PMI83051,PMI,Palma de Mallorca
Turcja,Seher Sun Palace Resort & Spa,AYT41072,AYT,Antalya
Meksyk,Riu Palace Costa Mujeres,CUN39005,CUN,Cancun
Hiszpania,Insotel Formentera Playa,FXX10005,IBZ,Ibiza
Bu³garia,Hotel Kaliakra Beach  ,VAR41060,VAR,Warna
Dominikana,Bahia Principe Fantasia Punta Cana,PUJ62042,PUJ,Punta Cana
Grecja,Minos Beach Art Hotel,HER49016,HER,Heraklion
Wyspy Kanaryjskie,Bull Reina Isabel & Spa,LPA11011,LPA,Gran Canaria
Egipt,Novotel Marsa Alam,RMF18009,RMF,Marsa Alam
Seszele,Bliss Mahé Seychelles,SEZ10070,SEZ,Mahe
Kenia,Papillon Lagoon Reef,MBA21037,MBA,Mombasa
Bu³garia,Hotel Kini Park,VAR21019,VAR,Warna
Tunezja,Royal Garden Palace,DJE11168,DJE,Djerba
Cypr,Olympic Lagoon Paphos,PFO10019,PFO,Pafos
Grecja,Lindos Princess Beach,RHO21018,RHO,Rodos
Turcja,Hotel Rixos Downtown Antalya,AYT21026,AYT,Antalya
Grecja,Cathrin,RHO13001,RHO,Rodos
Tunezja,Marhaba Palace,NBE11015,NBE,Enfidha
Turcja,Blue Bay Platinum,DLM10053,DLM,Dalaman
Bu³garia,Neptun Beach ,BOJ11027,BOJ,Burgas
Kenia,Baobab Beach Resort & Spa,MBA21035,MBA,Mombasa
Hiszpania,Hipotels Mediterraneo,PMI68001,PMI,Palma de Mallorca
Hiszpania,Aparthotel Grupotel Picafort Beach,PMI82025,PMI,Palma de Mallorca
Grecja,Andreolas Beach,ZTH19011,ZTH,Zakynthos
Hiszpania,Globales Apartamentos Marina,MAH29025,MAH,Minorka
Wyspy Kanaryjskie,H10 Big Sur,TFS33010,TFS,Teneryfa
Turcja,Belek Beach Resort,AYT32020,AYT,Antalya
Zjednoczone Emiraty Arabskie,Double Tree by Hilton Ras Al Khaimah,RKT15042,DXB,Dubai
Grecja,Park Hotel & Spa,ZTH13001,ZTH,Zakynthos
Hiszpania,Zafiro Palmonova & Spa,PMI24020,PMI,Palma de Mallorca
Grecja,Theartemis Palace,HER80025,HER,Heraklion
Curaçao,TIME TO SMILE Chogogo Dive & Beach Resort Curaçao,CUR20022,CUR,Curaçao
Hiszpania,Els Pins,IBZ28011,IBZ,Ibiza
Tajlandia,La Flora Resort & Spa,HKT53011,HKT,Phuket
Tunezja,Hotel El Mouradi Palm Marina,NBE11040,NBE,Enfidha
Grecja,Tropical Sol,KGS21035,KGS,Kos
Egipt,Sunrise Crystal Bay Resort,HRG11122,HRG,Hurghada
Turcja,Dream Family Club,AYT42029,AYT,Antalya
Grecja,Stella Village,HER41079,HER,Heraklion
Cypr,Amathus Beach Hotel Limassol,LCA12301,LCA,Larnaca
"Grecja,""Neptune Hotels Resort, Convention Centre & Spa"",KGS22010,KGS,Kos"
